frame,class,player
1,Other,
2,Other,
3,Other,
4,Other,
5,Other,
6,Other,
7,Other,
8,Other,
9,Other,
10,Other,
11,Other,
12,Other,
13,Other,
14,Other,
15,Other,
16,Other,
17,Other,
18,Other,
19,Other,
20,Other,
21,Other,
22,Other,
23,Other,
24,Other,
25,Other,
26,Other,
27,Other,
28,Other,
29,Other,
30,Other,
31,Other,
32,Other,
33,Other,
34,Other,
35,Other,
36,Other,
37,Other,
38,Other,
39,Other,
40,Other,
41,Other,
42,Other,
43,Other,
44,Other,
45,Other,
46,Other,
47,Other,
48,Other,
49,Other,
50,Other,
51,Other,
52,Other,
53,Other,
54,Other,
55,Other,
56,Other,
57,Other,
58,Other,
59,Other,
60,Other,
61,Other,
62,Other,
63,Other,
64,Other,
65,Other,
66,Other,
67,Other,
68,Other,
69,Other,
70,Other,
71,Other,
72,Other,
73,Other,
74,Other,
75,Other,
76,Other,
77,Other,
78,Other,
79,Other,
80,Other,
81,Other,
82,Other,
83,Other,
84,Other,
85,Other,
86,Other,
87,Other,
88,Other,
89,Other,
90,Other,
91,Other,
92,Other,
93,Other,
94,Other,
95,Other,
96,Other,
97,Other,
98,Other,
99,Other,
100,Other,
101,Other,
102,Other,
103,Other,
104,Other,
105,Other,
106,Other,
107,Other,
108,Other,
109,Other,
110,Other,
111,Other,
112,Other,
113,Other,
114,Other,
115,Other,
116,Other,
117,Other,
118,Other,
119,Other,
120,Other,
121,Other,
122,Other,
123,Other,
124,Other,
125,Other,
126,Other,
127,Other,
128,Other,
129,Other,
130,Other,
131,Other,
132,Other,
133,Other,
134,Other,
135,Other,
136,Other,
137,Other,
138,Other,
139,Other,
140,Other,
141,Other,
142,Other,
143,Other,
144,Other,
145,Other,
146,Other,
147,Other,
148,Other,
149,Other,
150,Other,
151,Other,
152,Other,
153,Other,
154,Other,
155,Other,
156,Other,
157,Other,
158,Other,
159,Other,
160,Other,
161,Other,
162,Other,
163,Other,
164,Other,
165,Other,
166,Other,
167,Other,
168,Other,
169,Other,
170,Other,
171,Other,
172,Other,
173,Other,
174,Other,
175,Other,
176,Other,
177,Other,
178,Other,
179,Other,
180,Other,
181,Other,
182,Other,
183,Other,
184,Other,
185,Other,
186,Other,
187,Other,
188,Other,
189,Other,
190,Other,
191,Other,
192,Other,
193,Other,
194,Other,
195,Other,
196,Other,
197,Other,
198,Other,
199,Other,
200,Other,
201,Other,
202,Other,
203,Other,
204,Other,
205,Other,
206,Other,
207,Other,
208,Other,
209,Other,
210,Other,
211,Other,
212,Other,
213,Other,
214,Other,
215,Other,
216,Other,
217,Other,
218,Other,
219,Other,
220,Other,
221,Other,
222,Other,
223,Other,
224,Other,
225,Other,
226,Other,
227,Other,
228,Other,
229,Other,
230,Other,
231,Other,
232,Other,
233,Other,
234,Other,
235,Other,
236,Other,
237,Other,
238,Other,
239,Other,
240,Other,
241,Other,
242,Other,
243,Other,
244,Other,
245,Other,
246,Other,
247,Other,
248,Other,
249,Other,
250,Other,
251,Other,
252,Other,
253,Other,
254,Other,
255,Other,
256,Other,
257,Other,
258,Other,
259,Other,
260,Other,
261,Other,
262,Other,
263,Other,
264,Other,
265,Other,
266,Other,
267,Other,
268,Other,
269,Other,
270,Other,
271,Other,
272,Other,
273,Other,
274,Other,
275,Other,
276,Other,
277,Other,
278,Other,
279,Other,
280,Other,
281,Other,
282,Other,
283,Other,
284,Other,
285,Other,
286,Other,
287,Other,
288,Other,
289,Other,
290,Other,
291,Other,
292,Other,
293,Other,
294,Other,
295,Other,
296,Other,
297,Other,
298,Other,
299,Other,
300,Other,
301,Other,
302,Other,
303,Other,
304,Other,
305,Other,
306,Other,
307,Other,
308,Other,
309,Other,
310,Other,
311,Other,
312,Other,
313,Other,
314,Other,
315,Other,
316,Other,
317,Other,
318,Other,
319,Other,
320,Other,
321,Other,
322,Other,
323,Other,
324,Other,
325,Other,
326,Other,
327,Other,
328,Other,
329,Other,
330,Other,
331,Other,
332,Other,
333,Other,
334,Other,
335,Other,
336,Other,
337,Other,
338,Other,
339,Other,
340,Other,
341,Other,
342,Other,
343,Other,
344,Other,
345,Other,
346,Other,
347,Other,
348,Other,
349,Other,
350,Other,
351,Other,
352,Other,
353,Other,
354,Other,
355,Other,
356,Other,
357,Other,
358,Other,
359,Other,
360,Other,
361,Other,
362,Other,
363,Other,
364,Other,
365,Other,
366,Other,
367,Other,
368,Other,
369,Other,
370,Other,
371,Other,
372,Other,
373,Other,
374,Other,
375,Other,
376,Other,
377,Other,
378,Other,
379,Other,
380,Other,
381,Other,
382,Other,
383,Other,
384,Other,
385,Other,
386,Other,
387,Other,
388,Other,
389,Other,
390,Other,
391,Other,
392,Other,
393,Other,
394,Other,
395,Other,
396,Other,
397,Other,
398,Other,
399,Other,
400,Other,
401,Other,
402,Other,
403,Other,
404,Other,
405,Other,
406,Other,
407,Other,
408,Other,
409,Other,
410,Other,
411,Other,
412,Other,
413,Other,
414,Other,
415,Other,
416,Other,
417,Other,
418,Other,
419,Other,
420,Other,
421,Other,
422,Other,
423,Other,
424,Other,
425,Other,
426,Other,
427,Other,
428,Other,
429,Other,
430,Other,
431,Other,
432,Other,
433,Other,
434,Other,
435,Other,
436,Other,
437,Other,
438,Other,
439,Other,
440,Other,
441,Other,
442,Other,
443,Other,
444,Other,
445,Other,
446,Other,
447,Other,
448,Other,
449,Other,
450,Control,Bar_1-5
451,Control,Bar_1-5
452,Control,Bar_1-5
453,Control,Bar_1-5
454,Control,Bar_1-5
455,Control,Bar_1-5
456,Control,Bar_1-5
457,Control,Bar_1-5
458,Control,Bar_1-5
459,Control,Bar_1-5
460,Control,Bar_1-5
461,Control,Bar_1-5
462,Control,Bar_1-5
463,Control,Bar_1-5
464,Control,Bar_1-5
465,Control,Bar_1-5
466,Control,Bar_1-5
467,Control,Bar_1-5
468,Control,Bar_1-5
469,Control,Bar_1-5
470,Control,Bar_1-5
471,Control,Bar_1-5
472,Control,Bar_1-5
473,Control,Bar_1-5
474,Control,Bar_1-5
475,Control,Bar_1-5
476,Control,Bar_1-5
477,Control,Bar_1-5
478,Control,Bar_1-5
479,Control,Bar_1-5
480,Control,Bar_1-5
481,Control,Bar_1-5
482,Control,Bar_1-5
483,Control,Bar_1-5
484,Control,Bar_1-5
485,Control,Bar_1-5
486,Control,Bar_1-5
487,Control,Bar_1-5
488,Control,Bar_1-5
489,Control,Bar_1-5
490,Control,Bar_1-5
491,Control,Bar_1-5
492,Control,Bar_1-5
493,Control,Bar_1-5
494,Control,Bar_1-5
495,Control,Bar_1-5
496,Control,Bar_1-5
497,Control,Bar_1-5
498,Control,Bar_1-5
499,Control,Bar_1-5
500,Control,Bar_1-5
501,Control,Bar_1-5
502,Control,Bar_1-5
503,Control,Bar_1-5
504,Control,Bar_1-5
505,Control,Bar_1-5
506,Control,Bar_1-5
507,Control,Bar_1-5
508,Control,Bar_1-5
509,Control,Bar_1-5
510,Control,Bar_1-5
511,Control,Bar_1-5
512,Control,Bar_1-5
513,Control,Bar_1-5
514,Control,Bar_1-5
515,Control,Bar_1-5
516,Control,Bar_1-5
517,Control,Bar_1-5
518,Control,Bar_1-5
519,Control,Bar_1-5
520,Control,Bar_1-5
521,Control,Bar_1-5
522,Control,Bar_1-5
523,Control,Bar_1-5
524,Control,Bar_1-5
525,Control,Bar_1-5
526,Control,Bar_1-5
527,Control,Bar_1-5
528,Control,Bar_1-5
529,Control,Bar_1-5
530,Control,Bar_1-5
531,Control,Bar_1-5
532,Roll,
533,Roll,
534,Roll,
535,Roll,
536,Roll,
537,Roll,
538,Roll,
539,Roll,
540,Roll,
541,Roll,
542,Roll,
543,Roll,
544,Roll,
545,Roll,
546,Roll,
547,Roll,
548,Roll,
549,Roll,
550,Roll,
551,Roll,
552,Roll,
553,Roll,
554,Control,Bar_1-3
555,Control,Bar_1-3
556,Control,Bar_1-3
557,Control,Bar_1-3
558,Control,Bar_1-3
559,Control,Bar_1-3
560,Control,Bar_1-3
561,Control,Bar_1-3
562,Control,Bar_1-3
563,Control,Bar_1-3
564,Control,Bar_1-3
565,Control,Bar_1-3
566,Control,Bar_1-3
567,Control,Bar_1-3
568,Control,Bar_1-3
569,Control,Bar_1-3
570,Control,Bar_1-3
571,Control,Bar_1-3
572,Control,Bar_1-3
573,Control,Bar_1-3
574,Control,Bar_1-3
575,Control,Bar_1-3
576,Control,Bar_1-3
577,Control,Bar_1-3
578,Control,Bar_1-3
579,Control,Bar_1-3
580,Control,Bar_1-3
581,Control,Bar_1-3
582,Control,Bar_1-3
583,Control,Bar_1-3
584,Control,Bar_1-3
585,Control,Bar_1-3
586,Control,Bar_1-3
587,Control,Bar_1-3
588,Control,Bar_1-3
589,Control,Bar_1-3
590,Control,Bar_1-3
591,Control,Bar_1-3
592,Control,Bar_1-3
593,Control,Bar_1-3
594,Control,Bar_1-3
595,Control,Bar_1-3
596,Control,Bar_1-3
597,Control,Bar_1-3
598,Control,Bar_1-3
599,Control,Bar_1-3
600,Control,Bar_1-3
601,Control,Bar_1-3
602,Control,Bar_1-3
603,Control,Bar_1-3
604,Control,Bar_1-3
605,Control,Bar_1-3
606,Control,Bar_1-3
607,Control,Bar_1-3
608,Control,Bar_1-3
609,Control,Bar_1-3
610,Control,Bar_1-3
611,Control,Bar_1-3
612,Control,Bar_1-3
613,Control,Bar_1-3
614,Control,Bar_1-3
615,Control,Bar_1-3
616,Control,Bar_1-3
617,Control,Bar_1-3
618,Control,Bar_1-3
619,Control,Bar_1-3
620,Control,Bar_1-3
621,Control,Bar_1-3
622,Control,Bar_1-3
623,Control,Bar_1-3
624,Control,Bar_1-3
625,Control,Bar_1-3
626,Control,Bar_1-3
627,Control,Bar_1-3
628,Control,Bar_1-3
629,Control,Bar_1-3
630,Control,Bar_1-3
631,Control,Bar_1-3
632,Control,Bar_1-3
633,Control,Bar_1-3
634,Control,Bar_1-3
635,Control,Bar_1-3
636,Control,Bar_1-3
637,Control,Bar_1-3
638,Control,Bar_1-3
639,Control,Bar_1-3
640,Control,Bar_1-3
641,Control,Bar_1-3
642,Control,Bar_1-3
643,Control,Bar_1-3
644,Control,Bar_1-3
645,Control,Bar_1-3
646,Control,Bar_1-3
647,Control,Bar_1-3
648,Control,Bar_1-3
649,Control,Bar_1-3
650,Control,Bar_1-3
651,Control,Bar_1-3
652,Control,Bar_1-3
653,Control,Bar_1-3
654,Control,Bar_1-3
655,Control,Bar_1-3
656,Control,Bar_1-3
657,Control,Bar_1-3
658,Control,Bar_1-3
659,Control,Bar_1-3
660,Control,Bar_1-3
661,Control,Bar_1-3
662,Control,Bar_1-3
663,Control,Bar_1-3
664,Control,Bar_1-3
665,Control,Bar_1-3
666,Control,Bar_1-3
667,Control,Bar_1-3
668,Control,Bar_1-3
669,Control,Bar_1-3
670,Control,Bar_1-3
671,Control,Bar_1-3
672,Control,Bar_1-3
673,Control,Bar_1-3
674,Control,Bar_1-3
675,Control,Bar_1-3
676,Control,Bar_1-3
677,Control,Bar_1-3
678,Control,Bar_1-3
679,Control,Bar_1-3
680,Control,Bar_1-3
681,Control,Bar_1-3
682,Control,Bar_1-3
683,Control,Bar_1-3
684,Control,Bar_1-3
685,Control,Bar_1-3
686,Control,Bar_1-3
687,Control,Bar_1-3
688,Control,Bar_1-3
689,Control,Bar_1-3
690,Control,Bar_1-3
691,Control,Bar_1-3
692,Control,Bar_1-3
693,Control,Bar_1-3
694,Control,Bar_1-3
695,Control,Bar_1-3
696,Control,Bar_1-3
697,Control,Bar_1-3
698,Control,Bar_1-3
699,Control,Bar_1-3
700,Control,Bar_1-3
701,Control,Bar_1-3
702,Control,Bar_1-3
703,Control,Bar_1-3
704,Control,Bar_1-3
705,Control,Bar_1-3
706,Control,Bar_1-3
707,Control,Bar_1-3
708,Control,Bar_1-3
709,Control,Bar_1-3
710,Control,Bar_1-3
711,Control,Bar_1-3
712,Control,Bar_1-3
713,Control,Bar_1-3
714,Control,Bar_1-3
715,Control,Bar_1-3
716,Control,Bar_1-3
717,Control,Bar_1-3
718,Control,Bar_1-3
719,Control,Bar_1-3
720,Control,Bar_1-3
721,Control,Bar_1-3
722,Control,Bar_1-3
723,Control,Bar_1-3
724,Control,Bar_1-3
725,Control,Bar_1-3
726,Control,Bar_1-3
727,Control,Bar_1-3
728,Control,Bar_1-3
729,Control,Bar_1-3
730,Control,Bar_1-3
731,Control,Bar_1-3
732,Control,Bar_1-3
733,Control,Bar_1-3
734,Control,Bar_1-3
735,Control,Bar_1-3
736,Control,Bar_1-3
737,Control,Bar_1-3
738,Control,Bar_1-3
739,Control,Bar_1-3
740,Control,Bar_1-3
741,Control,Bar_1-3
742,Control,Bar_1-3
743,Control,Bar_1-3
744,Control,Bar_1-3
745,Control,Bar_1-3
746,Control,Bar_1-3
747,Control,Bar_1-3
748,Control,Bar_1-3
749,Control,Bar_1-3
750,Control,Bar_1-3
751,Control,Bar_1-3
752,Control,Bar_1-3
753,Control,Bar_1-3
754,Control,Bar_1-3
755,Control,Bar_1-3
756,Control,Bar_1-3
757,Control,Bar_1-3
758,Control,Bar_1-3
759,Control,Bar_1-3
760,Control,Bar_1-3
761,Control,Bar_1-3
762,Control,Bar_1-3
763,Control,Bar_1-3
764,Control,Bar_1-3
765,Control,Bar_1-3
766,Control,Bar_1-3
767,Control,Bar_1-3
768,Control,Bar_1-3
769,Control,Bar_1-3
770,Control,Bar_1-3
771,Control,Bar_1-3
772,Control,Bar_1-3
773,Control,Bar_1-3
774,Control,Bar_1-3
775,Control,Bar_1-3
776,Control,Bar_1-3
777,Control,Bar_1-3
778,Control,Bar_1-3
779,Control,Bar_1-3
780,Control,Bar_1-3
781,Control,Bar_1-3
782,Control,Bar_1-3
783,Control,Bar_1-3
784,Control,Bar_1-3
785,Control,Bar_1-3
786,Control,Bar_1-3
787,Control,Bar_1-3
788,Control,Bar_1-3
789,Control,Bar_1-3
790,Control,Bar_1-3
791,Control,Bar_1-3
792,Control,Bar_1-3
793,Control,Bar_1-3
794,Control,Bar_1-3
795,Control,Bar_1-3
796,Control,Bar_1-3
797,Control,Bar_1-3
798,Control,Bar_1-3
799,Control,Bar_1-3
800,Control,Bar_1-3
801,Control,Bar_1-3
802,Control,Bar_1-3
803,Control,Bar_1-3
804,Shot,1-3.2
805,Shot,1-3.2
806,Roll,None
807,Roll,None
808,Roll,None
809,Roll,None
